course_id,title,department,description
1,Python Basics,CS,"Learn Python programming from scratch"
2,Data Science Intro,CS,"Introduction to data analysis, statistics, and visualization"
3,Web Development,CS,"HTML, CSS, JavaScript basics, front-end design"
4,Machine Learning 101,CS,"Introduction to ML algorithms and practical applications"
5,Cybersecurity Fundamentals,CS,"Learn security basics and ethical hacking"
6,Advanced Python,CS,"Deep dive into Python programming, OOP, and libraries"
7,Data Visualization,CS,"Creating charts, graphs, dashboards with Python and Tableau"
8,AI Fundamentals,AI,"Basics of artificial intelligence, problem solving, and reasoning"
9,Deep Learning,AI,"Neural networks, CNNs, RNNs, and hands-on projects"
10,Natural Language Processing,AI,"Text preprocessing, sentiment analysis, and NLP pipelines"
11,Database Management,IT,"SQL, database design, and data modeling concepts"
12,Cloud Computing,IT,"AWS, Azure, and cloud-based infrastructure fundamentals"
13,Big Data Analytics,IT,"Hadoop, Spark, and processing large datasets efficiently"
14,Python for Data Science,CS,"Python libraries for data analysis like Pandas, NumPy, and Matplotlib"
15,Web Backend Development,CS,"Node.js, Flask, Django for server-side programming"
16,Computer Networks,IT,"Networking basics, TCP/IP, routing, and switching"
17,Ethical Hacking,CS,"Penetration testing, vulnerabilities, and security assessment"
18,Blockchain Basics,CS,"Distributed ledgers, cryptocurrency, and smart contracts"
19,Software Engineering,CS,"SDLC, design patterns, and software testing"
20,Mobile App Development,CS,"iOS and Android development using React Native and Flutter"
21,Data Mining,CS,"Techniques to extract patterns from large datasets"
22,Python Automation,CS,"Automate repetitive tasks using Python scripts"
23,Introduction to AI Robotics,AI,"Robotics concepts, sensors, actuators, and AI integration"
24,Deep Reinforcement Learning,AI,"RL algorithms and practical projects"
25,Web Security,CS,"Protecting web apps from attacks like XSS and SQL injection"
26,Java Programming,CS,"Core Java concepts, OOP, and hands-on projects"
27,Project Management,IT,"Agile, Scrum, and project lifecycle management"
28,Data Engineering,IT,"ETL pipelines, data warehousing, and big data processing"
29,Machine Learning for Finance,CS,"ML applications in trading, risk analysis, and forecasting"
30,Computer Vision,AI,"Image processing, object detection, and OpenCV projects"
31,DevOps Essentials,IT,"CI/CD pipelines, Docker, Kubernetes, and automation"
32,Statistics for Data Science,CS,"Probability, hypothesis testing, and regression analysis"
33,Python Web Scraping,CS,"Scrape websites, parse data, and automate data collection"
34,Introduction to Quantum Computing,CS,"Quantum gates, algorithms, and theory basics"
35,AI Ethics,AI,"Ethical considerations and bias in AI systems"
36,Advanced Machine Learning,AI,"Ensemble methods, SVMs, and advanced model tuning"
37,Virtual Reality Development,CS,"VR concepts, Unity, and immersive experiences"
38,Python for Automation,CS,"Automate tasks in Windows and Linux environments using Python"
39,SQL for Analysts,IT,"Advanced SQL queries, joins, and analytics functions"
40,Introduction to Cyber Threats,CS,"Types of attacks, malware, and threat modeling"
41,AI in Healthcare,AI,"Applications of AI in medical imaging and diagnostics"
42,Cloud Security,IT,"Securing cloud environments and data"
43,Software Testing,CS,"Manual and automated testing techniques"
44,Data Ethics,CS,"Ethical considerations and compliance in data use"
45,IoT Fundamentals,IT,"Internet of Things devices, communication, and applications"
46,Python for Machine Learning,CS,"Python libraries and ML workflows"
47,Advanced NLP,AI,"Transformers, BERT, GPT models, and NLP projects"
48,Computer Architecture,CS,"CPU design, memory hierarchy, and assembly basics"
49,Introduction to AI,AI,"Overview of AI, machine learning, and intelligent systems"
50,Cybersecurity Risk Management,CS,"Identifying, assessing, and mitigating cyber risks"
